Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Tanay Taneja,31,Female,Tailoring,341-620,Delhi,110001,9,None,Widowed,1,Seasonal
Jason Ravi,41,Female,Welding,393-633,Ahmedabad,380001,17,Secondary,Single,1,Part-Time
Dayita Ramesh,57,Female,Plastering,594-819,Bangalore,560001,19,Higher Secondary,Married,3,Full-Time
Yashvi Baral,18,Male,"Sewing, Painting",382-636,Kolkata,700001,1,Higher Secondary,Married,5,Full-Time
Luke Virk,46,Female,Carpentry,354-504,Delhi,110001,9,None,Married,2,Seasonal
Nihal Lad,50,Male,Painting,597-701,Jaipur,302001,19,None,Widowed,0,Full-Time
Zashil Borah,22,Female,Electrical Work,406-551,Ahmedabad,380001,5,None,Widowed,2,Seasonal
Arin Chahal,23,Female,Decorating,574-689,Kolkata,700001,5,Secondary,Single,0,Full-Time
Jatin Nori,47,Female,Tailoring,408-644,Ahmedabad,380001,9,Primary,Widowed,1,Full-Time
Nandini Lal,44,Female,Carpentry,340-639,Mumbai,400001,18,Secondary,Single,0,Full-Time
Zayyan Deep,29,Female,Plumbing,417-518,Hyderabad,500001,7,Secondary,Single,0,Part-Time
Eesha Chand,28,Male,Sewing,311-562,Mumbai,400001,4,Primary,Single,2,Seasonal
Upma Bobal,26,Male,Cooking,321-610,Mumbai,400001,6,Higher Secondary,Widowed,2,Full-Time
Chanchal Nagarajan,37,Female,Masonry,502-727,Kolkata,700001,16,Primary,Widowed,1,Full-Time
Onveer Wali,19,Male,Gardening,405-657,Hyderabad,500001,2,Secondary,Widowed,0,Seasonal
Upadhriti Bail,60,Male,Sewing,429-717,Hyderabad,500001,2,Primary,Married,1,Full-Time
Tanish Bal,40,Female,"Tailoring, Gardening",370-512,Pune,411001,2,None,Single,2,Part-Time
Girish Shanker,58,Male,Electrical Work,435-587,Ahmedabad,380001,3,Primary,Single,1,Full-Time
Fitan Ben,48,Female,Cooking,473-608,Chennai,600001,20,Higher Secondary,Widowed,2,Full-Time
Triya Morar,49,Female,Tailoring,504-769,Hyderabad,500001,9,Secondary,Married,3,Seasonal
Chandani Kannan,39,Male,"Painting, Plumbing",452-705,Mumbai,400001,17,None,Married,4,Seasonal
Vrishti Sane,41,Male,Carpentry,475-723,Delhi,110001,3,Primary,Single,2,Seasonal
Christopher Kuruvilla,29,Male,"Domestic Help, Gardening",300-511,Hyderabad,500001,2,Secondary,Single,0,Full-Time
Siddharth Dutta,54,Male,Gardening,330-628,Chennai,600001,18,None,Single,2,Seasonal
Chatresh Chaudhry,51,Male,Welding,559-736,Delhi,110001,10,Higher Secondary,Single,2,Part-Time
Samuel Khalsa,22,Male,Electrical Work,307-529,Pune,411001,3,Primary,Married,3,Full-Time
Reva Rajagopalan,47,Female,Sewing,524-802,Chennai,600001,15,Primary,Widowed,2,Full-Time
Jagdish Roy,26,Female,Masonry,445-636,Chennai,600001,1,Secondary,Single,2,Full-Time
Lajita Dara,41,Male,Masonry,422-553,Kolkata,700001,7,Higher Secondary,Married,1,Seasonal
Arunima Gill,41,Female,Painting,312-582,Ahmedabad,380001,4,Higher Secondary,Widowed,2,Seasonal
Ansh Konda,23,Male,"Welding, Carpentry",548-649,Mumbai,400001,2,Higher Secondary,Single,0,Seasonal
Anthony Sarma,43,Male,Cooking,521-729,Bangalore,560001,10,Secondary,Single,0,Seasonal
Vyanjana Lalla,32,Female,Masonry,312-535,Lucknow,226001,15,Primary,Married,6,Full-Time
Mason Pillay,38,Male,"Tailoring, Plastering",506-777,Bangalore,560001,1,Primary,Married,6,Full-Time
Damini Virk,21,Female,Carpentry,541-809,Hyderabad,500001,2,None,Widowed,2,Full-Time
Tristan Bhatti,19,Male,"Carpentry, Plumbing",318-463,Mumbai,400001,2,None,Widowed,2,Part-Time
Finn Sridhar,23,Female,Cooking,499-629,Hyderabad,500001,4,Primary,Married,5,Seasonal
Watika Grewal,58,Male,Painting,348-562,Hyderabad,500001,19,Higher Secondary,Single,2,Full-Time
Zaitra Uppal,31,Female,Electrical Work,572-828,Bangalore,560001,8,None,Single,2,Seasonal
Ladli Pandit,57,Female,Electrical Work,508-725,Ahmedabad,380001,9,Higher Secondary,Married,3,Part-Time
Harshil Dasgupta,22,Male,"Welding, Domestic Help",403-634,Delhi,110001,5,Higher Secondary,Single,0,Part-Time
Simon Agrawal,43,Female,Painting,511-777,Ahmedabad,380001,12,Higher Secondary,Widowed,2,Seasonal
Geetika Buch,32,Female,Electrical Work,533-828,Bangalore,560001,11,None,Married,5,Seasonal
Yasti Sampath,31,Male,Domestic Help,574-801,Delhi,110001,8,Primary,Widowed,2,Seasonal
Hemal Borra,59,Female,Sewing,577-798,Jaipur,302001,5,None,Single,2,Seasonal
Jalsa Ramanathan,57,Male,Decorating,325-581,Jaipur,302001,9,Secondary,Widowed,2,Full-Time
Darika Lanka,54,Female,Electrical Work,531-783,Pune,411001,6,Secondary,Married,2,Full-Time
Frado Naidu,39,Male,Domestic Help,345-504,Chennai,600001,12,Higher Secondary,Single,2,Seasonal
Dipta Minhas,53,Female,"Gardening, Plastering",453-683,Kolkata,700001,4,Higher Secondary,Widowed,0,Part-Time
Yachana Palan,21,Female,Gardening,306-566,Mumbai,400001,1,Primary,Married,4,Part-Time
Vinaya Doctor,24,Female,Cooking,344-608,Chennai,600001,1,Primary,Single,2,Seasonal
Radha Gupta,34,Female,"Masonry, Gardening",373-628,Hyderabad,500001,1,Higher Secondary,Single,2,Seasonal
Keya Ranganathan,58,Female,Welding,354-532,Delhi,110001,8,Secondary,Widowed,2,Seasonal
Manbir Zacharia,55,Female,Gardening,519-794,Kolkata,700001,18,Primary,Married,1,Full-Time
Michael Sant,43,Male,"Welding, Carpentry",526-741,Lucknow,226001,16,None,Single,2,Seasonal
Andrew Kade,23,Male,"Masonry, Masonry",502-756,Kolkata,700001,6,Primary,Widowed,0,Full-Time
Nidra Butala,55,Female,Plumbing,461-664,Ahmedabad,380001,6,Secondary,Single,0,Seasonal
Jeremiah Babu,40,Female,Sewing,532-761,Kolkata,700001,11,Primary,Single,2,Full-Time
Viraj Gupta,45,Female,Plastering,468-736,Chennai,600001,12,Higher Secondary,Single,0,Full-Time
Nitesh Lala,42,Female,Painting,327-530,Jaipur,302001,4,None,Married,6,Seasonal
Dakshesh Hora,36,Male,Electrical Work,405-612,Ahmedabad,380001,3,Higher Secondary,Single,2,Seasonal
Jacob Sarin,48,Male,Electrical Work,498-737,Delhi,110001,16,Primary,Widowed,1,Full-Time
Peter Mitter,29,Female,Gardening,575-690,Kolkata,700001,11,Secondary,Widowed,0,Part-Time
Vedant Reddy,57,Female,Painting,420-583,Chennai,600001,1,Primary,Widowed,1,Part-Time
Aryan Mann,37,Female,"Cooking, Plastering",595-855,Pune,411001,9,Primary,Married,4,Seasonal
Tanmayi Dubey,32,Female,Plumbing,337-479,Delhi,110001,3,Secondary,Single,2,Seasonal
Damini Manda,34,Male,Tailoring,454-664,Kolkata,700001,3,Secondary,Married,1,Part-Time
Pushti Parmar,49,Male,Tailoring,383-502,Bangalore,560001,12,Primary,Single,0,Seasonal
Ubika Nagar,36,Female,"Domestic Help, Plastering",511-777,Hyderabad,500001,6,Higher Secondary,Married,2,Seasonal
Charles Saxena,50,Female,Carpentry,596-806,Jaipur,302001,10,Higher Secondary,Widowed,0,Full-Time
Karan Din,57,Female,Domestic Help,323-439,Lucknow,226001,2,Higher Secondary,Widowed,2,Part-Time
Garima Padmanabhan,47,Female,"Domestic Help, Welding",486-589,Mumbai,400001,18,Primary,Married,6,Seasonal
Kritika Goyal,52,Male,Plumbing,339-605,Lucknow,226001,17,Secondary,Single,2,Full-Time
Ati Prasad,52,Female,Carpentry,479-681,Chennai,600001,20,Higher Secondary,Single,2,Full-Time
Hemal Behl,29,Male,"Electrical Work, Cooking",504-784,Lucknow,226001,11,Higher Secondary,Single,0,Seasonal
Lavanya Doctor,31,Female,Decorating,414-618,Hyderabad,500001,7,Higher Secondary,Single,1,Seasonal
Krisha Raval,24,Male,Sewing,507-629,Lucknow,226001,7,None,Widowed,0,Part-Time
Viraj Sani,20,Female,Electrical Work,437-604,Delhi,110001,3,Higher Secondary,Widowed,1,Part-Time
Ladli Mangat,38,Female,Electrical Work,423-666,Lucknow,226001,3,Primary,Married,6,Seasonal
Nisha Garg,50,Female,Cooking,489-605,Delhi,110001,8,None,Married,5,Full-Time
Peter Mittal,46,Female,Plastering,484-724,Ahmedabad,380001,14,Primary,Single,2,Part-Time
Yashoda Parikh,18,Female,Electrical Work,408-612,Chennai,600001,1,Secondary,Single,0,Part-Time
Gagan Puri,33,Female,Domestic Help,311-513,Bangalore,560001,1,Primary,Married,2,Full-Time
Ekanta Sachdeva,38,Male,Welding,591-769,Chennai,600001,17,Primary,Married,0,Part-Time
Saanvi Dyal,59,Male,Welding,352-641,Hyderabad,500001,1,Primary,Single,1,Seasonal
Guneet Lal,32,Male,Electrical Work,480-719,Mumbai,400001,10,Secondary,Single,0,Part-Time
Lucky Bajwa,42,Male,Sewing,449-700,Lucknow,226001,11,Higher Secondary,Married,0,Part-Time
Ucchal Verma,51,Male,Cooking,455-746,Delhi,110001,4,Primary,Single,0,Part-Time
Harrison Ranganathan,23,Male,Domestic Help,331-577,Pune,411001,6,Higher Secondary,Widowed,0,Seasonal
Chandresh Misra,35,Female,Plumbing,477-703,Hyderabad,500001,8,Primary,Married,6,Seasonal
Robert Iyengar,36,Male,Masonry,304-553,Kolkata,700001,4,Primary,Widowed,2,Seasonal
Bhavya Sandhu,38,Female,Cooking,490-734,Lucknow,226001,7,Higher Secondary,Married,6,Full-Time
Upkaar Kota,50,Male,Carpentry,527-723,Kolkata,700001,19,Higher Secondary,Married,0,Seasonal
Krisha Choudhary,45,Male,Plastering,407-573,Hyderabad,500001,11,Primary,Married,0,Seasonal
Bhavani Salvi,44,Male,Welding,433-602,Lucknow,226001,8,Higher Secondary,Single,0,Part-Time
Keya Kapur,26,Female,Painting,508-688,Kolkata,700001,1,None,Married,2,Seasonal
Chakradhar Shah,26,Male,Masonry,342-513,Hyderabad,500001,2,None,Single,0,Seasonal
Chavvi Soni,23,Male,Painting,444-740,Hyderabad,500001,3,Secondary,Married,1,Full-Time
Ojasvi Mitra,59,Male,"Welding, Plumbing",376-630,Chennai,600001,4,None,Married,2,Full-Time
Gunbir Koshy,25,Male,Domestic Help,314-563,Chennai,600001,3,Primary,Married,2,Part-Time
Robert Merchant,40,Male,Sewing,321-454,Bangalore,560001,1,Higher Secondary,Single,0,Seasonal
Jeremiah Karnik,23,Female,Decorating,475-719,Delhi,110001,2,Primary,Married,6,Part-Time
Theodore Deshmukh,39,Male,Tailoring,450-633,Delhi,110001,6,None,Widowed,1,Full-Time
Kevin More,34,Male,Cooking,488-661,Bangalore,560001,11,Primary,Married,0,Seasonal
Nidra Mistry,42,Male,Domestic Help,538-812,Hyderabad,500001,10,Secondary,Single,2,Seasonal
Dayamai Modi,40,Male,Painting,415-549,Bangalore,560001,15,Secondary,Married,3,Full-Time
Upma Nori,24,Male,"Carpentry, Plumbing",306-499,Mumbai,400001,7,Primary,Widowed,0,Seasonal
Sarthak Patil,50,Male,"Plastering, Plastering",538-797,Hyderabad,500001,1,Primary,Single,2,Full-Time
Vansha Saxena,31,Female,Cooking,304-424,Lucknow,226001,10,Higher Secondary,Widowed,0,Part-Time
Divya Chandran,20,Female,Gardening,321-455,Kolkata,700001,2,Secondary,Widowed,0,Seasonal
Harinakshi Tank,53,Male,Electrical Work,461-636,Kolkata,700001,15,Higher Secondary,Single,0,Seasonal
Lipika Memon,29,Female,Cooking,561-844,Hyderabad,500001,6,None,Widowed,1,Full-Time
Dayita Rau,28,Male,Sewing,437-548,Ahmedabad,380001,3,Secondary,Married,1,Part-Time
Nicholas Gopal,26,Female,"Plumbing, Gardening",494-732,Bangalore,560001,5,Secondary,Married,0,Seasonal
Radha Kibe,32,Female,Decorating,368-540,Lucknow,226001,9,Secondary,Single,1,Full-Time
Zaitra Bhasin,40,Female,Painting,473-687,Pune,411001,4,Higher Secondary,Single,2,Part-Time
Yamini Taneja,34,Male,Gardening,543-654,Kolkata,700001,5,Primary,Married,5,Part-Time
Anya Contractor,29,Female,Cooking,320-457,Jaipur,302001,9,Secondary,Married,1,Part-Time
Rehaan Verma,56,Male,Carpentry,407-696,Mumbai,400001,20,Secondary,Married,1,Part-Time
Chasmum Dash,42,Female,Decorating,374-562,Bangalore,560001,14,Primary,Single,0,Part-Time
Krishna Krishnan,21,Male,Electrical Work,471-716,Jaipur,302001,1,Higher Secondary,Single,0,Seasonal
Janani Puri,33,Male,Welding,578-723,Mumbai,400001,10,None,Married,5,Seasonal
Devansh Sethi,54,Male,Sewing,526-822,Kolkata,700001,12,Primary,Single,1,Seasonal
Jeevika Garg,28,Female,Decorating,463-623,Hyderabad,500001,8,Higher Secondary,Widowed,1,Part-Time
Yasti Mital,31,Female,Plumbing,307-537,Jaipur,302001,6,Higher Secondary,Single,0,Full-Time
Anamika Wable,32,Female,Carpentry,523-672,Jaipur,302001,4,Higher Secondary,Married,3,Part-Time
Ronith Palla,50,Male,Decorating,378-613,Chennai,600001,17,Primary,Married,6,Seasonal
Yagnesh Palla,60,Female,Cooking,327-491,Mumbai,400001,5,None,Married,5,Seasonal
Lila Rout,43,Female,"Cooking, Cooking",585-801,Kolkata,700001,13,Primary,Married,0,Seasonal
Abeer Mistry,53,Male,Sewing,446-693,Bangalore,560001,7,Secondary,Married,4,Part-Time
Bhanumati Mohan,54,Female,Painting,525-811,Bangalore,560001,10,Primary,Widowed,2,Full-Time
Ekaja Pau,23,Male,Tailoring,496-689,Mumbai,400001,4,None,Single,0,Part-Time
Unnati Lad,51,Female,Plastering,511-777,Mumbai,400001,14,Secondary,Married,2,Part-Time
Tarak Pant,53,Male,Cooking,503-658,Hyderabad,500001,8,Higher Secondary,Married,1,Seasonal
Utkarsh Bains,48,Female,Cooking,423-686,Mumbai,400001,9,None,Married,3,Part-Time
Bhavya Banerjee,26,Female,Welding,327-465,Delhi,110001,1,Secondary,Widowed,1,Part-Time
Orinder Mander,51,Female,"Electrical Work, Cooking",499-678,Pune,411001,4,Primary,Married,5,Seasonal
Jacob Zachariah,60,Male,"Tailoring, Masonry",579-827,Kolkata,700001,7,Primary,Single,1,Full-Time
Charvi Brar,42,Male,"Tailoring, Sewing",580-837,Lucknow,226001,9,Secondary,Single,1,Part-Time
Kabir Bal,33,Female,Cooking,416-650,Chennai,600001,15,Secondary,Widowed,0,Full-Time
Samuel Din,60,Female,Welding,452-615,Jaipur,302001,10,None,Single,2,Seasonal
Meghana Shere,34,Male,"Carpentry, Plumbing",369-658,Chennai,600001,14,Higher Secondary,Married,3,Seasonal
Hredhaan Ahluwalia,37,Male,Cooking,318-557,Lucknow,226001,5,Higher Secondary,Single,0,Part-Time
Yuvraj Shukla,41,Female,Painting,430-682,Lucknow,226001,11,Primary,Married,5,Full-Time
Sai Chakraborty,26,Male,Masonry,376-670,Hyderabad,500001,6,Primary,Single,1,Part-Time
Vincent Saraf,30,Male,Plumbing,357-603,Mumbai,400001,7,Secondary,Married,6,Seasonal
Nisha Bhattacharyya,20,Female,"Plastering, Tailoring",482-669,Bangalore,560001,3,Secondary,Single,2,Part-Time
Yamini Srinivas,50,Male,Carpentry,319-451,Ahmedabad,380001,8,None,Widowed,1,Seasonal
Waida Patla,57,Female,Gardening,442-688,Mumbai,400001,12,Primary,Married,2,Part-Time
Matthew Bali,42,Male,Sewing,305-474,Delhi,110001,1,Primary,Single,2,Full-Time
Bhavini Basak,44,Male,Electrical Work,338-448,Delhi,110001,17,Secondary,Widowed,2,Part-Time
Lipika Bains,37,Female,Plumbing,555-782,Chennai,600001,11,Primary,Married,3,Seasonal
Sanya Jayaraman,36,Female,Plastering,396-550,Kolkata,700001,2,None,Married,6,Seasonal
Tanveer Saraf,42,Male,Domestic Help,330-466,Delhi,110001,5,None,Married,6,Part-Time
Chatura Pillai,37,Female,Tailoring,333-528,Delhi,110001,13,Higher Secondary,Widowed,1,Full-Time
Ubika Divan,39,Male,Decorating,310-482,Mumbai,400001,4,None,Single,2,Full-Time
Chameli Dhawan,38,Male,Sewing,506-645,Kolkata,700001,12,Secondary,Single,2,Seasonal
Frado Nori,47,Female,Masonry,387-608,Lucknow,226001,9,Higher Secondary,Widowed,2,Full-Time
Ridhi Walia,54,Male,Plastering,580-787,Pune,411001,19,Secondary,Single,1,Part-Time
Omkaar Sarma,50,Male,Plumbing,448-667,Chennai,600001,19,Secondary,Married,5,Part-Time
Manthan Wadhwa,60,Male,"Tailoring, Plumbing",305-585,Delhi,110001,15,Secondary,Single,2,Full-Time
Forum Sen,47,Male,Masonry,591-804,Ahmedabad,380001,1,Primary,Married,5,Part-Time
Udarsh Toor,42,Female,Painting,590-731,Pune,411001,8,Secondary,Married,6,Full-Time
Meghana Barad,46,Male,Gardening,430-643,Lucknow,226001,7,Secondary,Married,1,Full-Time
Lakshmi Rajan,25,Male,"Gardening, Plastering",399-646,Chennai,600001,4,Higher Secondary,Married,6,Seasonal
Zaitra Gulati,23,Female,Carpentry,533-703,Chennai,600001,6,Primary,Widowed,2,Full-Time
Ria Memon,57,Male,Cooking,445-730,Hyderabad,500001,16,Primary,Single,0,Full-Time
Advika Datta,25,Female,Carpentry,547-827,Hyderabad,500001,4,None,Married,5,Part-Time
Daksha Yadav,23,Female,Electrical Work,419-702,Mumbai,400001,5,Higher Secondary,Single,1,Full-Time
Ekbal Dua,55,Male,Carpentry,513-749,Chennai,600001,20,Higher Secondary,Married,4,Part-Time
Neha Ramaswamy,43,Female,Plastering,485-589,Bangalore,560001,17,Primary,Widowed,1,Seasonal
Varenya Chauhan,50,Female,Plumbing,319-487,Pune,411001,10,Primary,Widowed,0,Full-Time
Eesha Khare,18,Male,Sewing,598-791,Lucknow,226001,1,Secondary,Married,2,Seasonal
Advik Lanka,27,Female,Carpentry,600-833,Kolkata,700001,9,None,Widowed,0,Part-Time
Maanav Prabhakar,23,Female,Decorating,598-707,Kolkata,700001,5,Higher Secondary,Widowed,2,Part-Time
Tejas Sachar,51,Female,Painting,519-696,Chennai,600001,1,None,Widowed,0,Full-Time
Aahana Basak,41,Female,Plastering,579-877,Jaipur,302001,20,Higher Secondary,Widowed,0,Part-Time
Krish Maharaj,32,Female,Plumbing,556-740,Delhi,110001,9,None,Single,1,Seasonal
Libni Barman,43,Female,Plastering,563-763,Chennai,600001,6,None,Single,2,Part-Time
Dhruv Gulati,32,Male,Electrical Work,383-494,Hyderabad,500001,4,Higher Secondary,Widowed,0,Seasonal
Yamini Raja,30,Male,Welding,361-585,Lucknow,226001,7,Higher Secondary,Widowed,2,Seasonal
Tanay Chaudhuri,23,Female,"Plumbing, Plastering",532-721,Kolkata,700001,4,None,Married,0,Part-Time
Chaitanya Doshi,45,Male,"Electrical Work, Tailoring",458-721,Mumbai,400001,4,Secondary,Married,5,Part-Time
Manthan Taneja,49,Female,Plumbing,506-725,Mumbai,400001,10,Secondary,Married,2,Full-Time
Chavvi Narang,43,Female,Plumbing,421-687,Pune,411001,1,None,Married,2,Full-Time
Kabir Mangat,50,Male,"Painting, Masonry",307-568,Delhi,110001,10,Higher Secondary,Single,2,Full-Time
Balhaar Rao,40,Female,Plumbing,446-659,Chennai,600001,10,None,Widowed,1,Full-Time
Barkha Dua,38,Female,Decorating,331-519,Bangalore,560001,7,Primary,Single,2,Full-Time
Leela Vasa,36,Male,Sewing,514-769,Ahmedabad,380001,13,None,Widowed,1,Part-Time
Niharika Boase,28,Male,Welding,532-732,Pune,411001,11,None,Widowed,0,Part-Time
Gautam Mammen,52,Male,"Plastering, Carpentry",538-648,Chennai,600001,14,Secondary,Married,4,Full-Time
Ekalinga Nagar,51,Male,Electrical Work,589-709,Mumbai,400001,20,Secondary,Single,1,Full-Time
Bishakha Mangat,43,Female,"Electrical Work, Welding",501-793,Bangalore,560001,16,None,Single,0,Full-Time
Idika Tandon,42,Female,Gardening,544-772,Hyderabad,500001,3,Primary,Widowed,0,Seasonal
Urvashi Sekhon,23,Female,Electrical Work,356-544,Bangalore,560001,4,Higher Secondary,Single,1,Seasonal
Diya Rana,18,Male,Cooking,313-469,Bangalore,560001,1,Primary,Widowed,2,Full-Time
Jagvi Kala,38,Male,Sewing,350-544,Ahmedabad,380001,9,Higher Secondary,Single,1,Full-Time
Qushi Varty,32,Male,Tailoring,552-757,Mumbai,400001,6,Secondary,Married,0,Seasonal
Sara Viswanathan,31,Male,Plumbing,328-561,Pune,411001,4,None,Married,4,Full-Time
Gaurang Ranganathan,58,Female,Painting,381-644,Jaipur,302001,11,Primary,Widowed,0,Part-Time
Tanay Sandal,20,Female,Plastering,324-468,Jaipur,302001,2,Secondary,Widowed,1,Seasonal
Om Dash,21,Male,Painting,323-501,Chennai,600001,4,None,Married,4,Seasonal
Bhavna Kala,34,Female,Plumbing,443-622,Bangalore,560001,9,Higher Secondary,Married,6,Seasonal
Hemangini Ram,22,Male,"Decorating, Carpentry",525-647,Delhi,110001,2,Secondary,Married,6,Full-Time
Rohan Aggarwal,20,Male,"Welding, Welding",362-602,Jaipur,302001,2,None,Married,2,Part-Time
Sara Butala,29,Female,Domestic Help,416-573,Pune,411001,2,Primary,Married,6,Full-Time
Watika Ratta,36,Female,Tailoring,557-857,Mumbai,400001,16,Secondary,Single,0,Part-Time
Rishi Narayanan,26,Female,Electrical Work,338-582,Mumbai,400001,4,Primary,Widowed,1,Part-Time
Yash Choudhry,57,Female,Decorating,322-611,Delhi,110001,9,Higher Secondary,Widowed,1,Part-Time
Vanya Biswas,37,Male,Electrical Work,531-748,Kolkata,700001,20,Primary,Widowed,1,Seasonal
Tripti Saini,36,Male,Electrical Work,536-644,Bangalore,560001,12,None,Widowed,0,Full-Time
Turvi Rama,49,Female,Welding,395-567,Lucknow,226001,4,Higher Secondary,Widowed,0,Part-Time
Balveer Kale,26,Male,Plumbing,577-830,Mumbai,400001,1,Secondary,Widowed,1,Seasonal
Saumya Pathak,54,Female,Plastering,509-622,Jaipur,302001,9,Higher Secondary,Widowed,1,Part-Time
Chaitanya Merchant,20,Male,"Plumbing, Cooking",468-732,Chennai,600001,1,None,Married,5,Part-Time
Lila Balan,22,Male,Domestic Help,304-422,Jaipur,302001,3,Secondary,Single,0,Part-Time
Jhalak Pradhan,55,Female,Masonry,405-627,Delhi,110001,1,None,Single,1,Full-Time
Rishi Soni,35,Female,"Cooking, Sewing",549-750,Pune,411001,1,Secondary,Married,6,Full-Time
Tanish Parmar,56,Female,Carpentry,348-468,Delhi,110001,15,None,Single,2,Part-Time
Ojasvi Prasad,31,Male,Cooking,412-590,Chennai,600001,8,Higher Secondary,Married,3,Seasonal
Aayush Guha,25,Male,Carpentry,397-671,Jaipur,302001,7,Secondary,Single,2,Seasonal
Aarav Prabhu,49,Male,"Decorating, Welding",590-710,Bangalore,560001,8,Secondary,Widowed,2,Full-Time
Mahika Wason,39,Male,Tailoring,317-557,Delhi,110001,19,Secondary,Married,6,Part-Time
Oviya Kade,19,Male,Cooking,554-758,Jaipur,302001,2,Higher Secondary,Single,1,Full-Time
Jatin Shukla,50,Male,Painting,465-668,Hyderabad,500001,1,Primary,Widowed,1,Seasonal
Vedhika Khosla,37,Female,Sewing,501-702,Chennai,600001,1,Secondary,Widowed,0,Part-Time
Samuel Nagar,39,Female,Sewing,486-736,Jaipur,302001,16,None,Widowed,1,Full-Time
Pavani Toor,28,Female,Painting,358-568,Mumbai,400001,7,None,Single,2,Part-Time
Amol Bahl,53,Female,Painting,556-771,Ahmedabad,380001,14,Higher Secondary,Widowed,1,Seasonal
